Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Transportation Research, Part C: Emerging Technologies:  ['Automotive Engineering', 'Civil and Structural Engineering', 'Computer Science Applications', 'Management Science and Operations Research', 'Transportation']
SIAM Journal on Optimization:  ['Software', 'Theoretical Computer Science']
IEEE Transactions on Industrial Electronics:  ['Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering']
Foundations and Trends in Databases:  ['Computer Science (miscellaneous)']
Foundations of Computational Mathematics:  ['Analysis', 'Applied Mathematics', 'Computational Mathematics', 'Computational Theory and Mathematics']
Journal of Informetrics:  ['Applied Mathematics', 'Computer Science Applications', 'Library and Information Sciences', 'Management Science and Operations Research', 'Modeling and Simulation', 'Statistics and Probability']
Journal of Computational Physics:  ['Computer Science Applications', 'Physics and Astronomy (miscellaneous)']
Computers and Geotechnics:  ['Computer Science Applications', 'Geotechnical Engineering and Engineering Geology']
Environmental Modelling and Software:  ['Ecological Modeling', 'Environmental Engineering', 'Software']
Systems and Control Letters:  ['Computer Science (miscellaneous)', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Mechanical Engineering']
Medical Image Analysis:  ['Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Health Informatics', 'Radiological and Ultrasound Technology', 'Radiology, Nuclear Medicine and Imaging']
Computers and Operations Research:  ['Computer Science (miscellaneous)', 'Management Science and Operations Research', 'Modeling and Simulation']
IEEE Transactions on Medical Imaging:  ['Computer Science Applications', 'Electrical and Electronic Engineering', 'Radiological and Ultrasound Technology', 'Software']
Journal of Memory and Language:  ['Artificial Intelligence', 'Experimental and Cognitive Psychology', 'Language and Linguistics', 'Linguistics and Language', 'Neuropsychology and Physiological Psychology']
IEEE Wireless Communications:  ['Computer Science Applications', 'Electrical and Electronic Engineering']
Ocean Modelling:  ['Atmospheric Science', 'Computer Science (miscellaneous)', 'Geotechnical Engineering and Engineering Geology', 'Oceanography']
Journal of Combinatorial Theory. Series B:  ['Computational Theory and Mathematics', 'Discrete Mathematics and Combinatorics', 'Theoretical Computer Science']
Foundations and Trends in Machine Learning:  ['Artificial Intelligence', 'Human-Computer Interaction', 'Software']
Information Fusion:  ['Hardware and Architecture', 'Information Systems', 'Signal Processing', 'Software']
IEEE Transactions on Robotics:  ['Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering']
Nonlinear Analysis: Hybrid Systems:  ['Analysis', 'Computer Science Applications', 'Control and Systems Engineering']
Mechanical Systems and Signal Processing:  ['Aerospace Engineering', 'Civil and Structural Engineering', 'Computer Science Applications', 'Control and Systems Engineering', 'Mechanical Engineering', 'Signal Processing']
Journal of Information Technology and Politics:  ['Computer Science (miscellaneous)', 'Public Administration', 'Sociology and Political Science']
Database : the journal of biological databases and curation:  ['Agricultural and Biological Sciences (miscellaneous)', 'Biochemistry, Genetics and Molecular Biology (miscellaneous)', 'Information Systems']
Advances and Applications in Bioinformatics and Chemistry:  ['Biochemistry', 'Biochemistry, Genetics and Molecular Biology (miscellaneous)', 'Chemistry (miscellaneous)', 'Computer Science Applications']
Computational Mechanics:  ['Applied Mathematics', 'Computational Mathematics', 'Computational Mechanics', 'Computational Theory and Mathematics', 'Mechanical Engineering', 'Ocean Engineering']
Computational Materials Science:  ['Chemistry (miscellaneous)', 'Computational Mathematics', 'Computer Science (miscellaneous)', 'Materials Science (miscellaneous)', 'Mechanics of Materials', 'Physics and Astronomy (miscellaneous)']
Information Systems Journal:  ['Computer Networks and Communications', 'Information Systems', 'Software']
Journal of Information Technology:  ['Information Systems', 'Library and Information Sciences', 'Strategy and Management']
IEEE Signal Processing Magazine:  ['Applied Mathematics', 'Electrical and Electronic Engineering', 'Music', 'Signal Processing']
IEEE Geoscience and Remote Sensing Magazine:  ['Computer Science (miscellaneous)', 'Earth and Planetary Sciences (miscellaneous)', 'Electrical and Electronic Engineering', 'Instrumentation']
IEEE Journal on Selected Areas in Communications:  ['Computer Networks and Communications', 'Electrical and Electronic Engineering']
Computer Physics Communications:  ['Hardware and Architecture', 'Physics and Astronomy (miscellaneous)']
Journal of Strategic Information Systems:  ['Information Systems', 'Information Systems and Management', 'Management Information Systems']
Journal of Materials Processing Technology:  ['Ceramics and Composites', 'Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Metals and Alloys', 'Modeling and Simulation']
Journal of Scientific Computing:  ['Computational Theory and Mathematics', 'Engineering (miscellaneous)', 'Software', 'Theoretical Computer Science']
International Journal of General Systems:  ['Computer Science Applications', 'Control and Systems Engineering', 'Information Systems', 'Modeling and Simulation', 'Theoretical Computer Science']
Decision Support Systems:  ['Arts and Humanities (miscellaneous)', 'Developmental and Educational Psychology', 'Information Systems', 'Information Systems and Management', 'Management Information Systems']
Information Sciences:  ['Artificial Intelligence', 'Computer Science Applications', 'Control and Systems Engineering', 'Information Systems and Management', 'Software', 'Theoretical Computer Science']
ACM Computing Surveys:  ['Computer Science (miscellaneous)', 'Theoretical Computer Science']
Computers and Structures:  ['Civil and Structural Engineering', 'Computer Science Applications', 'Materials Science (miscellaneous)', 'Mechanical Engineering', 'Modeling and Simulation']
European Journal of Information Systems:  ['Information Systems', 'Library and Information Sciences']
Information and Management:  ['Information Systems', 'Information Systems and Management', 'Management Information Systems']
Journal of the Association of Information Systems:  ['Computer Science Applications', 'Information Systems']
IEEE Transactions on Industrial Informatics:  ['Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Information Systems']
Astronomy and Computing:  ['Computer Science Applications', 'Astronomy and Astrophysics (Q2)']
Science Technology and Human Values:  ['Anthropology', 'Economics and Econometrics', 'Engineering (miscellaneous)', 'Human-Computer Interaction', 'Philosophy', 'Social Sciences (miscellaneous)', 'Sociology and Political Science']
International Journal of Computer-Supported Collaborative Learning:  ['Education', 'Human-Computer Interaction']
Neuroinformatics:  ['Information Systems', 'Software', 'Neuroscience (miscellaneous) (Q2)']
Networks and Spatial Economics:  ['Artificial Intelligence', 'Computer Networks and Communications', 'Software']
Computers in Human Behavior:  ['Arts and Humanities (miscellaneous)', 'Human-Computer Interaction', 'Psychology (miscellaneous)']
Journal of Manufacturing Systems:  ['Control and Systems Engineering', 'Hardware and Architecture', 'Industrial and Manufacturing Engineering', 'Software']
IEEE/ASME Transactions on Mechatronics:  ['Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering']
Match:  ['Applied Mathematics', 'Chemistry (miscellaneous)', 'Computational Theory and Mathematics', 'Computer Science Applications']
Computational and Structural Biotechnology Journal:  ['Biochemistry', 'Biophysics', 'Biotechnology', 'Computer Science Applications', 'Genetics (Q2)', 'Structural Biology (Q2)']
IEEE Network:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Information Systems', 'Software']
INFORMS Journal on Computing:  ['Computer Science Applications', 'Information Systems', 'Management Science and Operations Research', 'Software']
Journal of Environmental Informatics:  ['Computer Science Applications', 'Decision Sciences (miscellaneous)', 'Environmental Science (miscellaneous)']
BMC Bioinformatics:  ['Applied Mathematics', 'Biochemistry', 'Computer Science Applications', 'Molecular Biology (Q2)', 'Structural Biology (Q2)']
Computer Science Review:  ['Computer Science (miscellaneous)', 'Theoretical Computer Science']
Computers and Industrial Engineering:  ['Computer Science (miscellaneous)', 'Engineering (miscellaneous)']
Structural and Multidisciplinary Optimization:  ['Computer Graphics and Computer-Aided Design', 'Computer Science Applications', 'Control and Optimization', 'Control and Systems Engineering', 'Software']
Journal of Field Robotics:  ['Computer Science Applications', 'Control and Systems Engineering']
ACM Transactions on Computer Systems:  ['Computer Science (miscellaneous)']
Virtual and Physical Prototyping:  ['Computer Graphics and Computer-Aided Design', 'Industrial and Manufacturing Engineering', 'Modeling and Simulation', 'Signal Processing']
Cognitive Science:  ['Artificial Intelligence', 'Experimental and Cognitive Psychology', 'Cognitive Neuroscience (Q2)']
IET Control Theory and Applications:  ['Computer Science Applications', 'Control and Optimization', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Human-Computer Interaction']
Archives of Computational Methods in Engineering:  ['Applied Mathematics', 'Computer Science Applications']
Journal of Computer Assisted Learning:  ['Computer Science Applications', 'Education', 'E-learning']
Computational Statistics and Data Analysis:  ['Applied Mathematics', 'Computational Mathematics', 'Computational Theory and Mathematics', 'Statistics and Probability (Q2)']
Journal of Combinatorial Theory - Series A:  ['Computational Theory and Mathematics', 'Discrete Mathematics and Combinatorics', 'Theoretical Computer Science']
International Journal of Health Geographics:  ['Business, Management and Accounting (miscellaneous)', 'Computer Science (miscellaneous)', 'Public Health, Environmental and Occupational Health']
European Journal of Combinatorics:  ['Computational Theory and Mathematics', 'Discrete Mathematics and Combinatorics', 'Geometry and Topology', 'Theoretical Computer Science']
Knowledge-Based Systems:  ['Artificial Intelligence', 'Information Systems and Management', 'Management Information Systems', 'Software']
IEEE Transactions on Image Processing:  ['Computer Graphics and Computer-Aided Design', 'Software']
International Journal of Information Management:  ['Computer Networks and Communications', 'Information Systems', 'Library and Information Sciences']
BIT Numerical Mathematics:  ['Applied Mathematics', 'Computational Mathematics', 'Computer Networks and Communications', 'Software']
Random Structures and Algorithms:  ['Applied Mathematics', 'Computer Graphics and Computer-Aided Design', 'Mathematics (miscellaneous)', 'Software']
Computers and Geosciences:  ['Computers in Earth Sciences', 'Information Systems']
Journal of Chemical Information and Modeling:  ['Chemical Engineering (miscellaneous)', 'Chemistry (miscellaneous)', 'Computer Science Applications', 'Library and Information Sciences']
Vascular Cell:  ['Computer Networks and Communications', 'Cell Biology (Q2)', 'Developmental Neuroscience (Q2)', 'Neurology (Q2)']
ACM Transactions on Graphics:  ['Computer Graphics and Computer-Aided Design']
Computer Assisted Language Learning:  ['Computer Science Applications', 'Language and Linguistics', 'Linguistics and Language']
IEEE Internet of Things Journal:  ['Computer Networks and Communications', 'Computer Science Applications', 'Hardware and Architecture', 'Information Systems', 'Information Systems and Management', 'Signal Processing']
Multiscale Modeling and Simulation:  ['Chemistry (miscellaneous)', 'Computer Science Applications', 'Ecological Modeling', 'Modeling and Simulation', 'Physics and Astronomy (miscellaneous)']
Algorithms for Molecular Biology:  ['Applied Mathematics', 'Computational Theory and Mathematics', 'Molecular Biology (Q2)', 'Structural Biology (Q2)']
IEEE Journal on Selected Topics in Signal Processing:  ['Electrical and Electronic Engineering', 'Signal Processing']
Journal of the Franklin Institute:  ['Applied Mathematics', 'Computer Networks and Communications', 'Control and Systems Engineering', 'Signal Processing']
Journal of Research on Technology in Education:  ['Computer Science Applications', 'Education']
Journal of Global Optimization:  ['Applied Mathematics', 'Computer Science Applications', 'Control and Optimization', 'Management Science and Operations Research']
Journal of the Association for Information Science and Technology:  ['Computer Networks and Communications', 'Information Systems', 'Information Systems and Management', 'Library and Information Sciences']
IEEE Transactions on Systems, Man, and Cybernetics: Systems:  ['Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Human-Computer Interaction', 'Information Systems', 'Software']
Transportmetrica B:  ['Modeling and Simulation', 'Software', 'Transportation']
Mechanism and Machine Theory:  ['Bioengineering', 'Computer Science Applications', 'Mechanical Engineering', 'Mechanics of Materials']
Telematics and Informatics:  ['Communication', 'Computer Networks and Communications', 'Electrical and Electronic Engineering', 'Law']
Cyberpsychology, Behavior, and Social Networking:  ['Applied Psychology', 'Communication', 'Computer Science Applications', 'Human-Computer Interaction', 'Medicine (miscellaneous)', 'Social Psychology']
International Journal of Neural Systems:  ['Computer Networks and Communications', 'Medicine (miscellaneous)']
IEEE Computational Intelligence Magazine:  ['Artificial Intelligence', 'Theoretical Computer Science']
Mathematical Programming Computation:  ['Software', 'Theoretical Computer Science']
Journal of Intelligent Transportation Systems:  ['Aerospace Engineering', 'Applied Mathematics', 'Automotive Engineering', 'Computer Science Applications', 'Control and Systems Engineering', 'Information Systems', 'Software']
IEEE Transactions on Information Forensics and Security:  ['Computer Networks and Communications', 'Safety, Risk, Reliability and Quality']
Journal of Machine Learning Research:  ['Artificial Intelligence', 'Control and Systems Engineering', 'Software', 'Statistics and Probability (Q2)']
Expert Systems with Applications:  ['Artificial Intelligence', 'Computer Science Applications', 'Engineering (miscellaneous)']
Mathematics of Operations Research:  ['Computer Science Applications', 'Management Science and Operations Research', 'Mathematics (miscellaneous)']
International Journal of Molecular Sciences:  ['Computer Science Applications', 'Inorganic Chemistry', 'Medicine (miscellaneous)', 'Organic Chemistry', 'Physical and Theoretical Chemistry', 'Spectroscopy', 'Catalysis (Q2)', 'Molecular Biology (Q2)']
Production Planning and Control:  ['Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Management Science and Operations Research', 'Strategy and Management']
Journal of Semantics:  ['Artificial Intelligence', 'Arts and Humanities (miscellaneous)', 'Linguistics and Language']
IEEE Transactions on Signal Processing:  ['Electrical and Electronic Engineering', 'Signal Processing']
IEEE Transactions on Wireless Communications:  ['Applied Mathematics', 'Computer Science Applications', 'Electrical and Electronic Engineering']
ACM Transactions on Mathematical Software:  ['Applied Mathematics', 'Software']
Social Science Computer Review:  ['Computer Science Applications', 'Law', 'Library and Information Sciences', 'Social Sciences (miscellaneous)']
Gene Regulation and Systems Biology:  ['Computer Science Applications', 'Ecology, Evolution, Behavior and Systematics', 'Genetics (Q2)', 'Molecular Biology (Q2)']
Inverse Problems:  ['Applied Mathematics', 'Computer Science Applications', 'Mathematical Physics', 'Signal Processing', 'Theoretical Computer Science']
Journal of the ACM:  ['Artificial Intelligence', 'Control and Systems Engineering', 'Hardware and Architecture', 'Information Systems', 'Software']
Journal of Cheminformatics:  ['Computer Graphics and Computer-Aided Design', 'Computer Science Applications', 'Library and Information Sciences', 'Physical and Theoretical Chemistry']
Information and Organization:  ['Information Systems', 'Library and Information Sciences', 'Management Information Systems', 'Management of Technology and Innovation', 'Organizational Behavior and Human Resource Management']
Applied Soft Computing Journal:  ['Software']
Library and Information Science Research:  ['Information Systems', 'Library and Information Sciences']
Communications in Applied Mathematics and Computational Science:  ['Applied Mathematics', 'Computational Theory and Mathematics', 'Computer Science Applications']
International Journal for Numerical Methods in Fluids:  ['Applied Mathematics', 'Computational Mechanics', 'Computer Science Applications', 'Mechanical Engineering', 'Mechanics of Materials']
Journal of Manufacturing Science and Engineering, Transactions of the ASME:  ['Computer Science Applications', 'Control and Systems Engineering', 'Industrial and Manufacturing Engineering', 'Mechanical Engineering']
Journal of Intelligent Manufacturing:  ['Artificial Intelligence', 'Industrial and Manufacturing Engineering', 'Software']
IEEE Transactions on Intelligent Transportation Systems:  ['Automotive Engineering', 'Computer Science Applications', 'Mechanical Engineering']
User Modelling and User-Adapted Interaction:  ['Computer Science Applications', 'Education', 'Human-Computer Interaction']
Social Media and Society:  ['Communication', 'Computer Science Applications', 'Cultural Studies']
Advanced Engineering Informatics:  ['Artificial Intelligence', 'Information Systems']
IEEE Transactions on Information Theory:  ['Computer Science Applications', 'Information Systems', 'Library and Information Sciences']
Advances in Engineering Software:  ['Engineering (miscellaneous)', 'Software']
Computer-Aided Civil and Infrastructure Engineering:  ['Civil and Structural Engineering', 'Computational Theory and Mathematics', 'Computer Graphics and Computer-Aided Design', 'Computer Science Applications']
International Journal of Control:  ['Computer Science Applications', 'Control and Systems Engineering']
IEEE Transactions on Neural Systems and Rehabilitation Engineering:  ['Biomedical Engineering', 'Computer Science Applications', 'Medicine (miscellaneous)', 'Neuroscience (miscellaneous) (Q2)']
Smart Materials and Structures:  ['Atomic and Molecular Physics, and Optics', 'Civil and Structural Engineering', 'Condensed Matter Physics', 'Electrical and Electronic Engineering', 'Materials Science (miscellaneous)', 'Mechanics of Materials', 'Signal Processing']
Journal of Big Data:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Information Systems', 'Information Systems and Management']
Bioinformatics and Biology Insights:  ['Applied Mathematics', 'Computational Mathematics', 'Computer Science Applications', 'Biochemistry (Q2)', 'Molecular Biology (Q2)']
Fuzzy Sets and Systems:  ['Artificial Intelligence', 'Logic']
IEEE Transactions on Knowledge and Data Engineering:  ['Computational Theory and Mathematics', 'Computer Science Applications', 'Information Systems']
Autonomous Robots:  ['Artificial Intelligence']
IEEE Transactions on Affective Computing:  ['Human-Computer Interaction', 'Software']
Finite Elements in Analysis and Design:  ['Applied Mathematics', 'Computer Graphics and Computer-Aided Design', 'Engineering (miscellaneous)', 'Analysis (Q2)']
Scientometrics:  ['Computer Science Applications', 'Library and Information Sciences', 'Social Sciences (miscellaneous)']
Journal of Scheduling:  ['Artificial Intelligence', 'Engineering (miscellaneous)', 'Management Science and Operations Research', 'Software']
ISA Transactions:  ['Applied Mathematics', 'Computer Science Applications', 'Electrical and Electronic Engineering', 'Instrumentation']
International Journal of Geographical Information Science:  ['Geography, Planning and Development', 'Information Systems', 'Library and Information Sciences']
BMC Systems Biology:  ['Applied Mathematics', 'Computer Science Applications', 'Modeling and Simulation', 'Molecular Biology (Q2)', 'Structural Biology (Q2)']
Journal of Process Control:  ['Computer Science Applications', 'Control and Systems Engineering', 'Industrial and Manufacturing Engineering', 'Modeling and Simulation']
Advances in Data Analysis and Classification:  ['Applied Mathematics', 'Computer Science Applications']
Mobile Media and Communication:  ['Communication', 'Computer Networks and Communications', 'Media Technology']
Language Learning and Technology:  ['Computer Science Applications', 'Education', 'Language and Linguistics', 'Linguistics and Language']
Computers and Fluids:  ['Computer Science (miscellaneous)', 'Engineering (miscellaneous)']
Foundations and Trends in Information Retrieval:  ['Computer Science (miscellaneous)', 'Information Systems']
Neurocomputing:  ['Artificial Intelligence', 'Computer Science Applications', 'Cognitive Neuroscience (Q2)']
International Journal of Intelligent Systems:  ['Artificial Intelligence', 'Human-Computer Interaction', 'Software', 'Theoretical Computer Science']
International Transactions in Operational Research:  ['Business and International Management', 'Computer Science Applications', 'Management of Technology and Innovation', 'Management Science and Operations Research', 'Strategy and Management']
Control Engineering Practice:  ['Applied Mathematics', 'Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering']
Animal Biotelemetry:  ['Animal Science and Zoology', 'Computer Networks and Communications', 'Instrumentation', 'Signal Processing']
Pattern Recognition:  ['Artificial Intelligence', 'Computer Vision and Pattern Recognition', 'Signal Processing', 'Software']
Computers and Mathematics with Applications:  ['Computational Mathematics', 'Computational Theory and Mathematics', 'Modeling and Simulation']
Swarm and Evolutionary Computation:  ['Computer Science (miscellaneous)', 'Mathematics (miscellaneous)']
Journal of Complex Networks:  ['Applied Mathematics', 'Computational Mathematics', 'Computer Networks and Communications', 'Control and Optimization', 'Management Science and Operations Research']
Robotics and Computer-Integrated Manufacturing:  ['Computer Science Applications', 'Control and Systems Engineering', 'Industrial and Manufacturing Engineering', 'Mathematics (miscellaneous)', 'Software']
IEEE Transactions on Cloud Computing:  ['Computer Networks and Communications', 'Computer Science Applications', 'Hardware and Architecture', 'Information Systems', 'Software']
Journal of Biomedical Informatics:  ['Computer Science Applications', 'Health Informatics']
Computers in Industry:  ['Computer Science (miscellaneous)', 'Engineering (miscellaneous)']
CAD Computer Aided Design:  ['Computer Graphics and Computer-Aided Design', 'Computer Science Applications', 'Industrial and Manufacturing Engineering']
Computers and Chemical Engineering:  ['Chemical Engineering (miscellaneous)', 'Computer Science Applications']
International Journal for Numerical Methods in Biomedical Engineering:  ['Biomedical Engineering', 'Computational Theory and Mathematics', 'Modeling and Simulation', 'Software', 'Applied Mathematics (Q2)', 'Molecular Biology (Q3)']
International Journal of Social Robotics:  ['Computer Science (miscellaneous)']
Journal of Heuristics:  ['Artificial Intelligence', 'Computer Networks and Communications', 'Control and Optimization', 'Information Systems', 'Management Science and Operations Research', 'Software']
Topics in Cognitive Science:  ['Artificial Intelligence', 'Human-Computer Interaction', 'Linguistics and Language', 'Cognitive Neuroscience (Q2)', 'Experimental and Cognitive Psychology (Q2)']
VLDB Journal:  ['Hardware and Architecture', 'Information Systems']
Journal of Rail Transport Planning and Management:  ['Computer Science Applications', 'Modeling and Simulation']
International Journal of Advanced Manufacturing Technology:  ['Computer Science Applications', 'Control and Systems Engineering', 'Industrial and Manufacturing Engineering', 'Mechanical Engineering', 'Software']
IEEE Journal of Biomedical and Health Informatics:  ['Biotechnology', 'Computer Science Applications', 'Electrical and Electronic Engineering', 'Health Information Management']
Computational Geosciences:  ['Computational Mathematics', 'Computational Theory and Mathematics', 'Computer Science Applications', 'Computers in Earth Sciences (Q2)']
IEEE Transactions on Parallel and Distributed Systems:  ['Computational Theory and Mathematics', 'Hardware and Architecture', 'Signal Processing']
BioData Mining:  ['Computational Mathematics', 'Computational Theory and Mathematics', 'Computer Science Applications', 'Biochemistry (Q2)', 'Genetics (Q2)', 'Molecular Biology (Q3)']
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery:  ['Computer Science (miscellaneous)']
Electronic Journal of Combinatorics:  ['Computational Theory and Mathematics', 'Theoretical Computer Science', 'Geometry and Topology (Q2)']
Journal of Building Performance Simulation:  ['Architecture', 'Building and Construction', 'Computer Science Applications', 'Modeling and Simulation']
IEEE Transactions on Multimedia:  ['Computer Science Applications', 'Electrical and Electronic Engineering', 'Media Technology', 'Signal Processing']
Computer Communication Review:  ['Computer Networks and Communications', 'Software']
Journal of Biomedical Semantics:  ['Computer Networks and Communications', 'Computer Science Applications', 'Health Informatics', 'Information Systems']
Multibody System Dynamics:  ['Aerospace Engineering', 'Computer Science Applications', 'Control and Optimization', 'Mechanical Engineering', 'Modeling and Simulation']
Discrete and Computational Geometry:  ['Computational Theory and Mathematics', 'Discrete Mathematics and Combinatorics', 'Theoretical Computer Science', 'Geometry and Topology (Q2)']
EPJ Data Science:  ['Computer Science Applications', 'Modeling and Simulation', 'Computational Mathematics (Q2)']
Journal of Computer-Aided Molecular Design:  ['Computer Science Applications', 'Drug Discovery', 'Physical and Theoretical Chemistry (Q2)']
Design Studies:  ['Architecture', 'Artificial Intelligence', 'Arts and Humanities (miscellaneous)', 'Computer Science Applications', 'Engineering (miscellaneous)', 'Social Sciences (miscellaneous)']
Journal of Electronic Commerce Research:  ['Computer Science Applications', 'Economics, Econometrics and Finance (miscellaneous)']
Networks:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Information Systems', 'Software']
